Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
29/11/2024,Cl - Cash Cfers Paid Over To Hmt,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Consolidated Fund Account 6622,639734,2879335.93,Dsit- Bduk Cfer Receipts - Central (Ofcom Subsegment)-Cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
07/11/2024,Talent And Beis Exclusive Training,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",The Whitehall And Industry Group,633423,30000,Dsit - Corporate Services Admin-talent And Beis Exclusive Training,Sw1h 9ex,Vendor
27/11/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Oliver Wyman Ltd,635720,56020,Dsit - Digital Identity (Prog - Main)-Research And Development Expenditure,W1u 8ew,Vendor
27/11/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Oliver Wyman Ltd,636986,105780,Dsit - Digital Identity (Prog - Main)-Research And Development Expenditure,W1u 8ew,Vendor
26/11/2024,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Hutchison 3g Uk Ltd,638087,65926.26,Dsit - Cell Broadcast System Prog 1-other Professional Services,Rg2 6gf,Vendor
05/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Building Digital Uk (Bduk),632649,10000000,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
26/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Building Digital Uk (Bduk),638218,7500000,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
19/11/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Turing Innovations Ltd,636343,107166.8,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,Nw1 2db,Vendor
11/11/2024,R & D Outsourced Other,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Deloitte Llp,628538,55745.15,Dsit - Digital Tech Nrf-r & D Outsourced Other,Ec4a 3hq,Vendor
05/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",The Royal Society,632421,400000,Dsit - Royal Society-r & D Current Grants To Private Sector - Npish,Sw1y 5ag,Grant
05/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",The British Academy,632423,1084681,Dsit - British Academy-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
05/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Royal Academy Of Engineering Rae,632424,2498179.64,Dsit - Royal Academy Of Engineering-r & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
05/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Academy Of Medical Sciences,632425,266749,Dsit - Academy Of Medical Sciences-r & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
06/11/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ipsos (Market Research) Ltd,632986,63190,Dsit - Eu Exit: Horizon Europe Association - Participation Fee-consultancy Expenditure,E1w 1yw,Vendor
05/11/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Getmapping Ltd,631837,31000,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Gu51 2uh,Vendor
05/11/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Bluesky International Ltd,632104,204545.45,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
05/11/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Bluesky International Ltd,632105,28000,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
04/11/2024,On-line Databases,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Huq Industries Ltd,632067,54600,Dsit - Population Mobility Data-on-line Databases,So23 7bt,Vendor
22/11/2024,Independent Experts,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Government Communications Headquarters (Gchq),636743,46432.83,Dsit - Diversification Strategy Prog-independent Experts,Gl51 0ex,Vendor
21/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Met Office,636690,3472916.5,Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
21/11/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Met Office,636975,745524.75,Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
