Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
27/09/2024,Organisational Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,622951,"£50,520.00",Dsit - Matrix Admin-org  Change Managt Consultcy,E1 1ew,Vendor
04/09/2024,Personnel-related Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Policy,Ministry Of Justice,619082,"£28,158.16",Dsit - Admin Nrf Digital Tech-personnel-related Expenditure,Sw1h 9aj,Wga Only
24/09/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616326,"£403,349.92",Dsit - Npl - Fec Pressure - Npif-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
06/09/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616328,"£152,010.22",Dsit - Npl Strategic Priorities Fund Analysis For Innovators-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616337,"£1,537,333.33",Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616338,"£1,383,167.67",Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616340,"£1,661,333.33",Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616342,"£1,219,667.00",Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616343,"£233,333.00",Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
06/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616346,"£1,548,000.00",Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
30/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,616350,"£2,426,362.11",Dsit - Npl - Quantum Test And Eval-r&D Laboratory Services,Tw11 0lw,Vendor
04/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,618108,"£193,422.00",Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
04/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,618109,"£538,918.00",Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
06/09/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,618125,"£4,387,431.09",Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
02/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,618307,"£674,410.00",Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
02/09/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,618308,"£137,595.00",Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
