Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
12/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ipsos (Market Research) Ltd,578201,43475,Dsit - Breaches-longitudinal-captains-research And Development Expenditure,E1w 1yw,Vendor
26/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Arculus Ltd,583411,77700,Dsit - Res Policy Development Prog-research And Development Expenditure,Bn3 2pj,Vendor
05/03/2024,Res - Npf - Agencies - General Fund,"Dsit - Science, Innovation And Growth - Dsit - Space",Uk Space Agency,575651,32000000,Dsit - Uk Space Agency - Supply Funding-res - Npf - Agencies - General Fund,Sn2 1sz,Wga Only
07/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Crisp Thinking (Uk) Ltd,575536,47280,Dsit - Security Team Policy & International Programme-other Professional Services,Ls1 4ol,Vendor
06/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Faculty Science Ltd,576543,69708.06,Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ec1v 9bw,Vendor
06/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Faculty Science Ltd,576545,108842.79,Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ec1v 9bw,Vendor
21/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Fenix Media Ltd T/A Pulsar,581579,29400,Dsit - Security Team Policy & International Programme-other Professional Services,Ec1n 8aq,Vendor
06/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Policy,Perspective Economics Ltd,576126,39115,Dsit - Digital Tech Nrf-research And Development Expenditure,Bt1 2be,Vendor
01/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ipsos (Market Research) Ltd,538021,73350,Dsit - Cyber Sectoral Analysis-research And Development Expenditure,E1w 1yw,Vendor
12/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,568557,2200000,Dsit - Digital Security By Design-other Professional Services,Sn2 1fl,Wga Only
14/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,London Economics Ltd,570139,32019,Dsit - Internet Of Things-research And Development Expenditure,Wc2r 1la,Vendor
07/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Pye Tait Consulting,576516,37740,Dsit - Secure Connected Places Prog-research And Development Expenditure,Hg1 1ep,Vendor
27/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Iff Research Ltd,578717,55196.18,Dsit - Cyber Ai-research And Development Expenditure,Ec3r 6hd,Vendor
25/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,579843,75517.19,Dsit - Commercialising Ac Res (Asap)-Other Professional Services,Sn2 1fl,Wga Only
27/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Iff Research Ltd,582670,27598.09,Dsit - Cyber Ai-research And Development Expenditure,Ec3r 6hd,Vendor
