Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
18/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,602215,45960,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
18/06/2024,Consultancy Expenditure,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,602216,37080,Dsit - Corporate Services Admin-consultancy Expenditure,E1 1ew,Vendor
24/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,602217,83220,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
24/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,602260,157980,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
18/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,602261,60120,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
25/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,603524,186644.87,Dsit - Matrix Admin-other Professional Services,Kt8 9ju,Vendor
26/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,604657,79680,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
26/06/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,604967,61562,Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
12/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593836,2176308.92,Dsit - Corporate Services Admin-other Services,Sw1h 0et,Wga Only
13/06/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593837,152090.69,Dsit - Corporate Services Admin-other Services,Sw1h 0et,Wga Only
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598377,166666.67,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598453,1219667,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598545,1548000,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598546,1537333.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598547,1383167.67,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
06/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,598549,1661333.33,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
